"community","n"
"AUSTIN",5702
"NEAR WEST SIDE",4346
"NEAR NORTH SIDE",4156
"WEST TOWN",2796
"LOOP",2761
"GREATER GRAND CROSSING",2719
"BELMONT CRAGIN",2672
"AUBURN GRESHAM",2499
"HUMBOLDT PARK",2384
"CHATHAM",2325
"SOUTH SHORE",2316
"NORTH LAWNDALE",2306
"LOGAN SQUARE",2292
"LAKE VIEW",2283
"CHICAGO LAWN",2175
"SOUTH LAWNDALE",2053
"WEST RIDGE",2036
"PORTAGE PARK",1965
"WEST ENGLEWOOD",1965
"LINCOLN PARK",1823
"ENGLEWOOD",1755
"ROSELAND",1753
"WEST GARFIELD PARK",1723
"IRVING PARK",1712
"NEW CITY",1699
"ASHBURN",1646
"LOWER WEST SIDE",1602
"BRIGHTON PARK",1584
"GARFIELD RIDGE",1528
"EAST GARFIELD PARK",1460
"WEST LAWN",1390
"EDGEWATER",1380
"WASHINGTON HEIGHTS",1316
"UPTOWN",1300
"GAGE PARK",1294
"AVONDALE",1269
"ROGERS PARK",1198
"NEAR SOUTH SIDE",1197
"WOODLAWN",1187
"DUNNING",1151
"ALBANY PARK",1076
"GRAND BOULEVARD",1060
"NORWOOD PARK",1045
"SOUTH DEERING",1040
"WEST PULLMAN",1018
"MORGAN PARK",1000
"HYDE PARK",977
"NORTH CENTER",879
"ARCHER HEIGHTS",864
"SOUTH CHICAGO",863
"MCKINLEY PARK",813
"LINCOLN SQUARE",811
"WASHINGTON PARK",802
"BEVERLY",794
"AVALON PARK",785
"CLEARING",774
"JEFFERSON PARK",771
"DOUGLAS",768
"CALUMET HEIGHTS",750
"BRIDGEPORT",696
"NORTH PARK",652
"ARMOUR SQUARE",620
"OHARE",617
"HERMOSA",606
"WEST ELSDON",586
"FOREST GLEN",569
"EAST SIDE",509
"KENWOOD",492
"MOUNT GREENWOOD",464
"FULLER PARK",461
"MONTCLARE",440
"PULLMAN",329
"RIVERDALE",320
"HEGEWISCH",287
"EDISON PARK",264
"OAKLAND",230
"BURNSIDE",104
"",59
