community,year,n_gang_territories
ALBANY PARK,2021,6
ARCHER HEIGHTS,2021,1
ARMOUR SQUARE,2021,1
ASHBURN,2021,2
AUBURN GRESHAM,2021,7
AUSTIN,2021,42
AVALON PARK,2021,1
AVONDALE,2021,3
BELMONT CRAGIN,2021,9
BRIDGEPORT,2021,2
BRIGHTON PARK,2021,2
CALUMET HEIGHTS,2021,2
CHATHAM,2021,7
CHICAGO LAWN,2021,2
CLEARING,2021,1
DOUGLAS,2021,5
EAST GARFIELD PARK,2021,7
EAST SIDE,2021,3
EDGEWATER,2021,3
ENGLEWOOD,2021,10
FULLER PARK,2021,2
GAGE PARK,2021,4
GARFIELD RIDGE,2021,2
GRAND BOULEVARD,2021,4
GREATER GRAND CROSSING,2021,10
HEGEWISCH,2021,1
HERMOSA,2021,5
HUMBOLDT PARK,2021,11
HYDE PARK,2021,1
IRVING PARK,2021,3
KENWOOD,2021,2
LINCOLN SQUARE,2021,2
LOGAN SQUARE,2021,5
LOWER WEST SIDE,2021,8
MCKINLEY PARK,2021,2
MORGAN PARK,2021,4
NEAR NORTH SIDE,2021,2
NEAR SOUTH SIDE,2021,1
NEAR WEST SIDE,2021,5
NEW CITY,2021,11
NORTH LAWNDALE,2021,21
OAKLAND,2021,1
PORTAGE PARK,2021,2
PULLMAN,2021,4
RIVERDALE,2021,6
ROGERS PARK,2021,7
ROSELAND,2021,15
SOUTH CHICAGO,2021,17
SOUTH DEERING,2021,4
SOUTH LAWNDALE,2021,15
SOUTH SHORE,2021,9
UPTOWN,2021,5
WASHINGTON HEIGHTS,2021,8
WASHINGTON PARK,2021,5
WEST ELSDON,2021,1
WEST ENGLEWOOD,2021,7
WEST GARFIELD PARK,2021,7
WEST LAWN,2021,1
WEST PULLMAN,2021,10
WEST RIDGE,2021,2
WEST TOWN,2021,10
WOODLAWN,2021,6
JEFFERSON PARK,2021,NA
FOREST GLEN,2021,NA
NORTH PARK,2021,NA
DUNNING,2021,NA
MONTCLARE,2021,NA
NORWOOD PARK,2021,NA
LOOP,2021,NA
BURNSIDE,2021,NA
LAKE VIEW,2021,NA
NORTH CENTER,2021,NA
LINCOLN PARK,2021,NA
BEVERLY,2021,NA
MOUNT GREENWOOD,2021,NA
OHARE,2021,NA
EDISON PARK,2021,NA
