community,avg_in_2_mi_radius,population,,,,,,,,,,,,
ALBANY PARK,60.33,48396.00,,,,,,,,,,,,
ARCHER HEIGHTS,23.6,14196.00,,,,,,,,,,,,
ARMOUR SQUARE,77.62,13890.00,,,,,,,,,,,,
ASHBURN,0,41098.00,,,,,,,,,,,,
AUBURN GRESHAM,19.4,44878.00,,,,,,,,,,,,
AUSTIN,29.57,96557.00,,,,,,,,,,,,
AVALON PARK,36,9458.00,,,,,,,,,,,,
AVONDALE,78.18,36257.00,,,,,,,,,,,,
BELMONT CRAGIN,34.69,78116.00,,,,,,,,,,,,
BEVERLY,13.5,20027.00,,,,,,,,,,,,
BRIDGEPORT,60.4,33702.00,,,,,,,,,,,,
BRIGHTON PARK,37.62,45053.00,,,,,,,,,,,,
BURNSIDE,31,2527.00,,,,,,,,,,,,
CALUMET HEIGHTS,31.67,13088.00,,,,,,,,,,,,
CHATHAM,34.36,31710.00,,,,,,,,,,,,
CHICAGO LAWN,27.43,55931.00,,,,,,,,,,,,
CLEARING,0,24473.00,,,,,,,,,,,,
DOUGLAS,48.82,20291.00,,,,,,,,,,,,
DUNNING,16.36,43147.00,,,,,,,,,,,,
EAST GARFIELD PARK,67.5,19992.00,,,,,,,,,,,,
EAST SIDE,9.8,21724.00,,,,,,,,,,,,
EDGEWATER,54.12,56296.00,,,,,,,,,,,,
EDISON PARK,0,11525.00,,,,,,,,,,,,
ENGLEWOOD,37.08,24369.00,,,,,,,,,,,,
FOREST GLEN,0,19596.00,,,,,,,,,,,,
FULLER PARK,46.33,2567.00,,,,,,,,,,,,
GAGE PARK,35.57,39540.00,,,,,,,,,,,,
GARFIELD RIDGE,9,35439.00,,,,,,,,,,,,
GRAND BOULEVARD,44.62,24589.00,,,,,,,,,,,,
GREATER GRAND CROSSING,41.92,31471.00,,,,,,,,,,,,
HEGEWISCH,4.6,10027.00,,,,,,,,,,,,
HERMOSA,48,24062.00,,,,,,,,,,,,
HUMBOLDT PARK,57.78,54165.00,,,,,,,,,,,,
HYDE PARK,38.92,29456.00,,,,,,,,,,,,
IRVING PARK,57.24,51940.00,,,,,,,,,,,,
JEFFERSON PARK,0,26216.00,,,,,,,,,,,,
KENWOOD,36.67,19116.00,,,,,,,,,,,,
LAKE VIEW,98.82,103050.00,,,,,,,,,,,,
LINCOLN PARK,112.44,70492.00,,,,,,,,,,,,
LINCOLN SQUARE,77.44,40494.00,,,,,,,,,,,,
LOGAN SQUARE,87.76,71665.00,,,,,,,,,,,,
LOOP,149.5,42298.00,,,,,,,,,,,,
LOWER WEST SIDE,89.4,33751.00,,,,,,,,,,,,
MCKINLEY PARK,46,15923.00,,,,,,,,,,,,
MONTCLARE,23,14401.00,,,,,,,,,,,,
MORGAN PARK,13.6,21186.00,,,,,,,,,,,,
MOUNT GREENWOOD,5.75,18628.00,,,,,,,,,,,,
NEAR NORTH SIDE,149.62,105481.00,,,,,,,,,,,,
NEAR SOUTH SIDE,96.87,28795.00,,,,,,,,,,,,
NEAR WEST SIDE,148.59,67881.00,,,,,,,,,,,,
NEW CITY,42.23,43628.00,,,,,,,,,,,,
NORTH CENTER,104,35114.00,,,,,,,,,,,,
NORTH LAWNDALE,56.19,34794.00,,,,,,,,,,,,
NORTH PARK,42,17559.00,,,,,,,,,,,,
NORWOOD PARK,0,38303.00,,,,,,,,,,,,
OAKLAND,0,13418.00,,,,,,,,,,,,
OHARE,0,6799.00,,,,,,,,,,,,
PORTAGE PARK,30.6,63020.00,,,,,,,,,,,,
PULLMAN,20.33,6820.00,,,,,,,,,,,,
RIVERDALE,4.67,7262.00,,,,,,,,,,,,
ROGERS PARK,32.59,55628.00,,,,,,,,,,,,
ROSELAND,20.9,38816.00,,,,,,,,,,,,
SOUTH CHICAGO,22.14,27300.00,,,,,,,,,,,,
SOUTH DEERING,17.17,14105.00,,,,,,,,,,,,
SOUTH LAWNDALE,46.33,71399.00,,,,,,,,,,,,
SOUTH SHORE,33.3,53971.00,,,,,,,,,,,,
UPTOWN,67.21,57182.00,,,,,,,,,,,,
WASHINGTON HEIGHTS,20.5,25065.00,,,,,,,,,,,,
WASHINGTON PARK,49,12707.00,,,,,,,,,,,,
WEST ELSDON,23.5,18394.00,,,,,,,,,,,,
WEST ENGLEWOOD,34,29647.00,,,,,,,,,,,,
WEST GARFIELD PARK,45,17433.00,,,,,,,,,,,,
WEST LAWN,18.25,33662.00,,,,,,,,,,,,
WEST PULLMAN,13.25,26104.00,,,,,,,,,,,,
WEST RIDGE,46,77122.00,,,,,,,,,,,,
WEST TOWN,120.97,87781.00,,,,,,,,,,,,
WOODLAWN,42.09,24425.00,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
