year,community,num_stations_in_comm,season,peak_hour,day,avg_daily_emptiness,avg_daily_bike_avail
2013,ARMOUR SQUARE,1,Fall,No,1,53.76321353,6.911205074
2013,ARMOUR SQUARE,1,Fall,No,10,46.64189189,8.033783784
2013,ARMOUR SQUARE,1,Fall,No,11,43.60027855,8.431754875
2013,ARMOUR SQUARE,1,Fall,No,12,62.58949416,5.616731518
2013,ARMOUR SQUARE,1,Fall,No,13,60.2122093,5.968023256
2013,ARMOUR SQUARE,1,Fall,No,14,65.52839931,5.153184165
2013,ARMOUR SQUARE,1,Fall,No,15,69.91162791,4.481395349
2013,ARMOUR SQUARE,1,Fall,No,16,64.49560117,5.331378299
2013,ARMOUR SQUARE,1,Fall,No,17,71.74685535,4.275157233
2013,ARMOUR SQUARE,1,Fall,No,18,74.02412869,3.932975871
2013,ARMOUR SQUARE,1,Fall,No,19,47.82741117,7.827411168
2013,ARMOUR SQUARE,1,Fall,No,2,49.76515152,7.553030303
2013,ARMOUR SQUARE,1,Fall,No,20,63.97311828,5.38172043
2013,ARMOUR SQUARE,1,Fall,No,21,62.53333333,5.584615385
2013,ARMOUR SQUARE,1,Fall,No,22,66.32065217,4.929347826
2013,ARMOUR SQUARE,1,Fall,No,23,65.44767442,5.087209302
2013,ARMOUR SQUARE,1,Fall,No,24,48.77639752,7.652173913
2013,ARMOUR SQUARE,1,Fall,No,25,41.39263804,8.760736196
2013,ARMOUR SQUARE,1,Fall,No,26,47.25414365,7.906077348
2013,ARMOUR SQUARE,1,Fall,No,27,55.04444444,6.727777778
2013,ARMOUR SQUARE,1,Fall,No,28,49.06666667,7.630769231
2013,ARMOUR SQUARE,1,Fall,No,29,51.02030457,7.360406091
2013,ARMOUR SQUARE,1,Fall,No,3,37.75280899,9.320224719
2013,ARMOUR SQUARE,1,Fall,No,30,69.01530612,4.678571429
2013,ARMOUR SQUARE,1,Fall,No,31,50.32727273,7.418181818
2013,ARMOUR SQUARE,1,Fall,No,4,61.35595777,5.793363499
2013,ARMOUR SQUARE,1,Fall,No,5,76.14480409,3.562180579
2013,ARMOUR SQUARE,1,Fall,No,6,74.40370899,3.848787447
2013,ARMOUR SQUARE,1,Fall,No,7,48.69680851,7.695035461
2013,ARMOUR SQUARE,1,Fall,No,8,55.21452145,6.702970297
2013,ARMOUR SQUARE,1,Fall,No,9,49.57142857,7.589285714
2013,ARMOUR SQUARE,1,Fall,Yes,1,57.04225352,6.457746479
2013,ARMOUR SQUARE,1,Fall,Yes,10,47.01357466,7.958144796
2013,ARMOUR SQUARE,1,Fall,Yes,11,37.7870257,9.313341493
2013,ARMOUR SQUARE,1,Fall,Yes,12,60.21129707,5.991631799
2013,ARMOUR SQUARE,1,Fall,Yes,13,51.09090909,7.338983051
2013,ARMOUR SQUARE,1,Fall,Yes,14,77.5396619,3.360208062
2013,ARMOUR SQUARE,1,Fall,Yes,15,60.26630435,5.960144928
2013,ARMOUR SQUARE,1,Fall,Yes,16,54.83359498,6.791208791
2013,ARMOUR SQUARE,1,Fall,Yes,17,65.73533084,5.148564295
2013,ARMOUR SQUARE,1,Fall,Yes,18,56.78716216,6.493243243
2013,ARMOUR SQUARE,1,Fall,Yes,19,41.11304348,8.839130435
