Community,safety,s_race_african_american,s_race_asian_american,s_race_hispanic,s_race_white,s_race_other,s_age_low,s_age_medium,s_age_high,s_sex_female,s_sex_male,trust,t_race_african_american,t_race_asian_american,t_race_hispanic,t_race_white,t_race_other,t_age_low,t_age_medium,t_age_high,t_sex_female,t_sex_male
Rogers Park,60.96,61.41,61.46,59.42,62.44,58.32,62.83,60.14,62.04,58.61,63.01,60.78,58.31,69.53,62.07,61.32,61.04,55.66,57.37,68.16,60.01,61.22
West Ridge,63.31,62.23,63.71,61.89,65.00,57.43,64.37,61.34,65.32,63.85,63.46,66.77,64.41,70.00,63.40,69.06,61.09,58.81,63.93,72.21,66.85,67.86
Uptown,66.30,61.82,62.03,64.41,68.06,58.37,69.23,65.94,65.47,66.56,66.54,65.41,63.95,65.36,66.80,66.52,60.95,56.53,66.54,69.18,66.26,65.20
Lincoln Square,67.68,62.82,62.75,67.17,69.09,57.69,69.21,66.23,67.86,67.15,68.60,65.38,63.72,67.11,67.08,66.22,59.59,56.11,65.34,69.86,65.59,65.76
North Center,67.23,61.75,62.34,66.03,66.87,58.07,73.56,66.35,62.33,67.77,65.48,68.46,67.32,68.84,67.22,69.30,62.26,63.11,68.65,73.13,67.93,69.18
Lake View,66.22,63.63,61.46,64.35,66.93,58.44,68.64,64.53,64.24,65.24,66.73,68.89,67.87,68.16,67.11,70.05,62.39,62.70,69.27,74.65,69.67,69.10
Lincoln Park,65.28,61.74,60.80,60.82,66.68,54.56,66.10,61.04,65.80,64.19,66.61,71.12,67.80,71.18,69.91,72.22,63.42,65.59,70.39,76.86,70.76,72.65
Near North Side,60.74,60.01,60.46,53.66,62.48,55.65,60.61,57.00,61.52,60.06,60.51,72.18,66.33,71.31,72.31,73.71,61.93,65.66,71.88,76.09,73.04,73.24
Edison Park,65.96,59.27,63.33,61.03,67.73,57.59,64.52,63.72,66.21,65.97,65.79,75.82,67.78,72.36,75.25,77.29,65.19,69.30,75.76,78.50,76.84,76.23
Norwood Park,71.17,58.54,66.21,68.41,72.99,59.53,68.43,70.44,70.90,71.89,71.07,79.46,69.23,73.40,78.19,80.87,68.44,72.93,79.64,80.91,80.64,79.21
Jefferson Park,66.98,59.82,65.98,65.99,67.59,59.18,68.72,66.77,66.06,66.76,67.22,74.56,66.28,72.15,75.73,75.33,67.17,68.31,74.69,75.52,75.11,74.98
Forest Glen,69.07,59.18,66.09,67.20,70.29,59.36,68.58,68.61,68.48,69.32,69.14,77.01,67.75,72.78,76.96,78.10,67.81,70.62,77.16,78.21,77.88,77.10
North Park,68.03,59.50,66.04,66.59,68.94,59.27,68.65,67.69,67.27,68.04,68.18,75.78,67.01,72.46,76.35,76.72,67.49,69.47,75.93,76.87,76.50,76.04
Albany Park,65.41,56.77,66.15,65.43,66.13,58.28,63.85,66.18,66.60,66.60,65.25,68.35,63.05,69.86,67.10,69.50,62.43,61.18,67.02,73.85,69.28,67.87
Portage Park,63.66,57.01,65.67,66.23,63.08,58.56,65.41,60.95,64.92,62.72,63.62,71.31,65.85,72.36,73.02,71.40,66.85,66.19,69.81,73.83,71.75,71.01
Irving Park,64.28,55.55,65.25,63.39,67.03,57.21,65.91,63.39,64.85,63.82,65.23,65.62,62.15,69.37,64.99,66.39,63.07,58.67,64.75,72.08,65.58,65.74
Dunning,63.97,56.28,65.46,64.81,65.05,57.89,65.66,62.17,64.89,63.27,64.43,68.47,64.00,70.86,69.00,68.89,64.96,62.43,67.28,72.95,68.66,68.38
Montclare,64.13,55.91,65.36,64.10,66.04,57.55,65.79,62.78,64.87,63.55,64.83,67.04,63.07,70.11,67.00,67.64,64.02,60.55,66.02,72.52,67.12,67.06
Belmont Cragin,60.85,56.72,63.79,59.05,61.74,57.56,60.56,62.59,61.57,61.38,61.30,67.17,56.80,68.51,67.22,70.01,61.40,61.35,67.78,70.22,68.49,67.91
Hermosa,56.69,52.51,63.33,55.17,61.15,57.16,59.10,57.76,57.31,54.99,58.88,61.01,52.59,67.56,65.19,65.24,60.30,58.88,59.76,63.15,59.98,62.06
Avondale,58.77,54.61,63.56,57.11,61.44,57.36,59.83,60.18,59.44,58.19,60.09,64.09,54.70,68.03,66.20,67.63,60.85,60.11,63.77,66.68,64.23,64.99
Logan Square,63.67,60.53,65.13,58.57,67.05,56.78,66.61,61.53,63.39,62.16,65.77,61.59,59.29,67.01,65.80,60.80,59.26,54.39,63.10,66.30,60.94,62.29
Humboldt Park,61.22,57.57,64.34,57.84,64.24,57.07,63.22,60.85,61.42,60.17,62.93,62.84,56.99,67.52,66.00,64.21,60.06,57.25,63.44,66.49,62.58,63.64
West Town,61.71,57.46,63.00,58.01,64.26,55.32,63.46,59.72,61.32,60.30,62.85,62.37,58.13,67.68,64.64,61.77,58.69,57.89,62.48,67.17,62.65,63.17
Austin,53.48,49.10,57.70,55.68,60.37,52.81,51.64,54.08,55.81,53.86,54.89,55.29,49.40,65.18,59.86,62.72,54.98,52.68,54.21,60.38,56.23,55.82
West Garfield Park,49.07,47.43,54.57,50.64,53.89,52.40,49.17,47.00,50.21,50.04,48.61,48.55,43.09,63.16,55.82,54.27,53.02,50.11,46.19,50.43,47.67,49.08
East Garfield Park,51.31,47.96,55.38,53.14,56.56,52.90,52.10,47.60,54.00,50.34,52.81,52.77,47.55,64.46,57.67,59.26,54.30,52.23,50.13,57.55,51.44,55.98
Near West Side,57.32,55.44,57.59,55.61,59.01,54.34,59.15,54.30,58.70,55.62,58.39,61.30,54.94,66.41,60.89,64.79,56.68,55.88,59.85,67.80,60.15,63.58
North Lawndale,49.28,47.06,55.74,48.71,56.44,51.39,48.50,48.87,52.06,47.26,52.27,52.02,43.50,64.14,56.96,58.33,51.21,48.83,53.36,55.65,51.67,53.60
South Lawndale,51.47,50.13,56.02,49.09,58.81,51.21,49.71,50.57,54.05,50.18,54.65,54.13,45.16,64.30,55.52,58.45,51.25,50.01,54.69,57.37,53.50,55.04
Lower West Side,52.69,50.88,56.45,51.13,58.09,52.31,52.45,51.25,54.94,51.02,55.10,55.82,47.87,64.95,57.79,60.52,53.05,51.57,55.97,60.27,55.11,57.41
Loop,62.51,56.85,57.74,59.02,65.38,57.70,63.27,58.30,64.60,63.19,61.78,70.92,67.79,70.69,68.58,72.55,60.38,66.07,72.67,73.14,71.62,71.26
Near South Side,59.89,60.65,55.36,61.05,60.35,57.57,62.35,58.65,59.27,60.82,58.09,67.13,64.46,69.53,67.73,68.96,59.44,63.03,67.54,70.98,68.79,66.56
Armour Square,58.36,56.12,56.52,57.07,61.27,55.86,59.36,56.07,59.60,58.34,58.32,64.62,60.04,68.39,64.70,67.34,57.62,60.22,65.39,68.13,65.17,65.07
Douglas,60.25,57.87,56.54,59.05,62.33,57.04,61.66,57.67,61.16,60.78,59.40,67.56,64.10,69.54,67.00,69.62,59.15,63.11,68.53,70.75,68.53,67.63
Oakland,59.50,58.22,56.14,59.05,61.32,56.82,61.13,57.46,60.01,59.98,58.61,66.44,62.87,69.15,66.48,68.64,58.74,62.12,67.15,69.95,67.49,66.42
Fuller Park,59.37,57.40,56.40,58.39,61.64,56.57,60.72,57.07,60.26,59.70,58.78,66.21,62.33,69.03,66.06,68.53,58.50,61.82,67.02,69.61,67.06,66.37
Grand Boulevard,57.94,58.26,54.56,56.06,59.97,54.90,59.52,53.32,60.12,58.52,58.53,56.49,55.05,59.49,59.29,61.37,55.21,52.35,55.15,60.55,57.99,57.14
Kenwood,58.94,57.96,55.70,57.83,60.98,56.10,60.45,55.95,60.13,59.40,58.64,63.04,60.08,65.89,63.94,66.18,57.48,58.76,63.11,66.70,64.18,63.31
Washington Park,57.17,56.15,54.43,54.93,61.79,53.61,58.92,51.79,60.53,55.28,59.03,54.96,55.32,57.88,60.37,57.48,53.69,49.70,51.63,62.28,53.54,56.60
Hyde Park,50.35,48.66,54.15,52.78,60.42,55.62,52.49,48.19,51.89,49.07,52.95,47.10,44.81,60.69,56.92,62.29,53.37,48.05,46.41,48.23,45.58,47.68
Woodlawn,55.48,54.26,54.76,55.18,61.06,55.11,57.29,51.97,57.52,54.58,56.87,55.04,53.40,61.49,60.41,61.98,54.85,52.17,53.72,59.07,54.44,55.86
South Shore,52.05,52.44,56.48,50.60,59.14,49.79,49.34,53.14,53.04,51.23,53.01,52.38,48.65,65.60,56.77,64.25,54.27,48.63,52.17,56.48,51.25,54.86
Chatham,51.10,51.09,56.36,53.12,59.97,53.30,48.61,49.81,53.21,50.09,52.94,49.38,48.36,64.92,57.91,68.81,52.32,47.65,46.75,52.51,48.09,51.21
Avalon Park,51.40,51.53,56.48,51.33,58.12,50.46,49.43,51.04,53.85,51.50,50.93,50.66,48.94,65.85,56.65,63.07,54.32,48.97,49.74,53.50,49.98,50.82
South Chicago,51.52,51.69,56.44,51.68,59.08,51.18,49.13,51.33,53.36,50.94,52.29,50.81,48.65,65.46,57.11,65.38,53.63,48.42,49.55,54.16,49.77,52.30
Burnside,51.34,51.44,56.43,52.04,59.05,51.65,49.05,50.73,53.47,50.84,52.05,50.28,48.65,65.41,57.22,65.75,53.42,48.34,48.68,53.39,49.28,51.44
Calumet Heights,51.42,51.55,56.45,51.69,58.75,51.10,49.20,51.03,53.56,51.09,51.76,50.58,48.75,65.57,56.99,64.73,53.79,48.58,49.33,53.68,49.68,51.52
Roseland,50.99,50.21,56.50,52.30,61.14,52.87,49.42,48.97,54.17,50.49,53.44,51.86,48.64,66.14,57.17,72.13,54.34,48.45,49.33,58.44,52.28,53.80
Pullman,51.78,51.46,56.65,51.04,60.86,54.26,49.79,52.09,53.31,51.10,55.19,53.23,50.88,65.90,56.84,71.64,52.71,49.59,51.28,58.01,53.05,55.06
South Deering,55.33,54.83,56.48,53.38,59.70,50.55,51.92,54.62,55.69,55.95,57.07,60.84,52.92,65.65,61.78,70.11,55.39,53.01,59.13,65.01,60.92,62.63
East Side,52.70,52.17,56.54,52.24,60.56,52.56,50.38,51.89,54.39,52.51,55.23,55.31,50.81,65.90,58.60,71.30,54.15,50.35,53.25,60.49,55.42,57.16
West Pullman,52.46,51.41,56.70,51.18,63.25,54.04,49.89,50.40,55.84,52.75,55.27,53.43,50.21,65.97,57.33,73.32,54.94,48.14,49.62,61.29,53.47,56.51
Riverdale,53.50,52.81,56.57,52.26,61.17,52.38,50.73,52.31,55.31,53.74,55.86,56.53,51.32,65.84,59.24,71.58,54.82,50.50,54.00,62.26,56.60,58.77
Hegewisch,52.89,52.13,56.60,51.89,61.66,52.99,50.33,51.53,55.18,53.00,55.45,55.09,50.78,65.90,58.39,72.06,54.64,49.66,52.29,61.35,55.16,57.48
